country,eu,continent,renewable.total,all.sources,renewable,main.renewable,hydro,wind,biomass,solar,geothermal
Afghanistan,n,asia,0,0,1070.9,hydro,1035.3,0.1,0,35.5,
Albania,n,europe,100%,"7,782",7783.9,hydro,7782,0,0,1.9,
Algeria,n,africa,0.60%,"70,997",430.5,solar,72,19.4,0,339.1,
Angola,n,africa,70.30%,"10,361",7282.3,hydro,7109,0,155,18.3,
Anguilla,n,namerica,0,0,2.4,solar,0,0,0,2.4,
Antigua and Barbuda,n,namerica,0,0,5.5,solar,0,0,0,5.5,
Argentina,n,samerica,21.50%,"147,220",31700.3,hydro,30134.8,554.1,1820.4,14.5,
Armenia,n,europe,32.20%,"7,315",2354.2,hydro,2351.2,1.8,,1.2,
Aruba,n,namerica,0,,148.5,wind,0,130.3,8.9,9.2,
Australia,n,oceania,14.50%,"256,563",37205,hydro,15318,12199,3722,6209,1
Austria,y,europe,74.30%,"68,351",50772,hydro,42919,5235,4603,1096,
Azerbaijan,n,asia,8.80%,"24,953",2191.8,hydro,1959.3,22.8,174.5,35.3,
Bahamas,n,namerica,0,0,1.9,solar,0,0,0,1.9,
Bahrain,n,asia,0.00%,"28,510",9.5,solar,0,1.2,0,8.3,
Bangladesh,n,asia,1.80%,"64,327",1183,hydro,946,5.1,7.7,224.3,
Barbados,n,namerica,0,0,29.6,solar,,0.1,0,29.5,
Belarus,n,europe,1.20%,"33,566",392,biomass,141.9,74.8,147.2,28.1,
Belgium,y,europe,16.60%,"85,520",14168,wind,1489,5436,5276,3086,
Belize,n,namerica,0,0,383.1,hydro,260.5,0,117.4,5.3,
Benin,n,africa,3.20%,355,11.2,solar,1,0,0,10.2,
BES Islands,n,africa,0,0,38.2,wind,0,35.1,0,3.1,
Bhutan,n,asia,0,0,7961.5,hydro,7959,1.8,0,0.7,
Bolivia,n,samerica,20.60%,"9,409",1936.6,hydro,1719.8,34.9,176.2,5.7,
Bosnia and Herzegovina,n,europe,31.50%,"17,767",5590.8,hydro,5586.5,0.8,36.1,13.4,
Botswana,n,africa,0.20%,"2,688",4.3,solar,0,0,0,4.3,
British Virgin Islands,n,africa,0,0,1.6,wind,0,1.3,0,0.3,
Brazil,n,samerica,80.40%,"578,889",465579.2,biomass,380910.9,33489.1,51040.2,138.8,
Brunei,n,asia,0.00%,"4,270",1.1,solar,0,0,0,1.1,
Bulgaria,y,europe,15.70%,"45,277",7106,hydro,4568,1425,353,1386,
Burkina Faso,n,asia,0,,157.1,hydro,139.5,0,2.3,15.3,
Burundi,n,africa,0,,284,hydro,271.9,0,6.6,5.4,
Cabo Verde,n,africa,0,,74.7,wind,0,69.1,0,5.6,
Cambodia,n,asia,47.20%,"5,594",2641.2,hydro,2568,0.3,48.3,24.7,
Cameroon,n,africa,52.40%,"8,367",4385,hydro,4372.7,0,0,12.4,
Canada,n,namerica,65.00%,"667,438",433597,hydro,387208,30766,12685,3031,
Central African Republic,n,africa,0,,171.7,hydro,171.3,,,0.4,
Chad,n,africa,0,,9.2,wind,,8.9,,0.3,
Chile,n,samerica,43.30%,"79,308",34319,wind,23274,2449,5957,2639,
China,n,asia,24.50%,"6,217,907",1522585.6,hydro,1193370,242387.7,49403.8,67874.1,143.5
Colombia,n,samerica,62.90%,"76,904",48338.9,hydro,46787.9,50.9,1419.9,80.2,
Comoros,n,africa,0,,5,hydro,5,,,,
Democratic Republic of the Congo,n,africa,100%,"9,135",9223.9,hydro,9220.8,,,3.2,
